"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"19-02-2024","18:47:59.210",511.456,7.59798243710063,13.396,7.79106487577497,NA,7.81493840940716
"19-02-2024","18:48:00.215",512.461,7.60549603003102,13.399,7.79297372708146,NA,7.81207333160671
"19-02-2024","18:48:01.213",513.459,7.59793098387574,13.399,7.78843216427326,NA,7.81105103793524
"19-02-2024","18:48:02.211",514.458,7.59836270816023,13.402,7.79623193758676,NA,7.81005430120038
"19-02-2024","18:48:03.217",515.463,7.59717702142034,13.408,7.79153178770102,NA,7.81607745430456
"19-02-2024","18:48:04.216",516.462,7.60068270339449,13.412,7.78658012002716,NA,7.8177445359746
"19-02-2024","18:48:05.212",517.458,7.60330525030086,13.412,7.78793851941859,NA,7.82102842019059
"19-02-2024","18:48:06.215",518.461,7.59992189477619,13.406,7.79325169818131,NA,7.81369037757076
"19-02-2024","18:48:07.211",519.458,7.60202879977964,13.399,7.78823478089284,NA,7.80925938784714
"19-02-2024","18:48:08.212",520.458,7.60698351530096,13.402,7.78656853414991,NA,7.81437740833735
"19-02-2024","18:48:09.217",521.464,7.59834940365452,13.401,7.78687389533406,NA,7.81400936192854
"19-02-2024","18:48:10.212",522.459,7.59849066538952,13.397,7.78571696628994,NA,7.81552580489484
"19-02-2024","18:48:11.211",523.458,7.59802013330395,13.393,7.78127743372708,NA,7.80572290276479
"19-02-2024","18:48:12.215",524.462,7.60645024943229,13.401,7.78209641775884,NA,7.80444986244101
"19-02-2024","18:48:13.230",525.476,7.60120271503364,13.406,7.78593207198694,NA,7.81197505929993
"19-02-2024","18:48:14.216",526.462,7.59441926491508,13.411,7.78740615084231,NA,7.81529878669898
"19-02-2024","18:48:15.221",527.468,7.60420126648533,13.404,7.7863287940921,NA,7.81673923223436
"19-02-2024","18:48:16.213",528.46,7.59670658890986,13.403,7.7853801142669,NA,7.81554106858686
"19-02-2024","18:48:17.217",529.463,7.60219065900485,13.41,7.79621428087113,NA,7.8120478147799
"19-02-2024","18:48:18.224",530.471,7.59934229840751,13.422,7.79169041404005,NA,7.81699055816942
"19-02-2024","18:48:19.216",531.462,7.60468377987458,13.426,7.791316176129,NA,7.80873966734126
"19-02-2024","18:48:20.227",532.474,7.59456092969043,13.423,7.79082251087683,NA,7.81142872042521
